Iteration,Pin2_V,Pin3_V,Pin4_V,Pin5_V
1,4.120,4.174,3.646,3.475
2,3.798,3.974,3.817,3.651
3,3.744,3.871,3.866,3.763
4,3.519,3.543,3.578,3.563
5,3.763,3.793,3.788,3.734
6,3.631,3.641,3.651,3.646
7,3.548,3.539,3.529,3.529
8,3.759,3.788,3.763,3.719
9,3.509,3.509,3.509,3.529
10,3.612,3.617,3.587,3.563
11,3.680,3.710,3.690,3.661
12,3.431,3.421,3.416,3.436
13,3.641,3.661,3.631,3.592
14,3.548,3.568,3.553,3.548
15,3.416,3.412,3.397,3.407
16,3.656,3.685,3.656,3.612
17,3.431,3.436,3.431,3.446
18,3.470,3.470,3.451,3.436
19,3.602,3.636,3.612,3.578
20,3.338,3.338,3.333,3.353
